city,state,NumberOfReviews
,EDH,4
"110 Las Vegas",NV,43
Aberdour,FIF,2
Aberlady,ELN,6
AGINCOURT,ON,5
Ahwahtukee,AZ,9
Ahwatukee,AZ,583
"Ahwatukee Foothills Village",AZ,4
Aichwald,BW,4
Ajax,ON,1725
Alburg,VT,4
Alburgh,VT,2
Alex,30,2
Allegheny,PA,5
"Allison Park",PA,616
Ambridge,PA,267
Amherst,OH,661
Anjou,QC,76
Ansnorveldt,ON,7
Anthem,AZ,863
Argos,IN,19
Arlington,WI,3
Arnold,PA,46
Arrowhead,AZ,8
Ashburn,ON,5
Aspinwall,PA,150
Auburn,OH,2
"Auburn Township",OH,13
"Auburn Twp",OH,5
Aurora,OH,980
Aurora,ON,1502
Avalon,PA,48
Avon,OH,1995
"Avon Lake",OH,1048
Avondale,AZ,11246
Baie-D'urfe,QC,11
Bainbridge,OH,83
"Bainbridge Township",OH,8
Baldwin,PA,25
Balerno,MLN,3
Ballantyne,NC,13
Banksville,PA,3
Bath,OH,53
"Bay Village",OH,326
Beachwood,OH,2950
Beaconsfield,QC,41
Beauharnois,QC,4
Bedford,OH,612
Bedford,QC,1
"Bedford Heights",OH,133
"Bedford HTS",OH,12
"Bedford Hts.",OH,5
Beeton,ON,16
Belleville,WI,120
Bellevue,PA,372
Bellvue,PA,16
Belmont,NC,1593
Beloeil,QC,22
"Ben Avon",PA,29
Bentleyville,OH,1
Berea,OH,1271
Berg,BW,6
Bernhausen,BW,25
Berry,WI,5
"Bethel Park",PA,1343
"Black Earth",WI,55
Blackness,FAL,4
Blainville,QC,19
Blawnox,PA,20
Bloomfield,PA,4
"Blue Diamond",NV,299
Böblingen,BW,877
Böblingen,SL,1
Bois-Des-Filion,QC,2
Boisbriand,QC,46
Bolton,ON,147
"Bond Head",ON,2
Bonnyrigg,MLN,6
Bonnyrigg,SCB,6
"Bonnyrigg and Lasswade",MLN,4
Boston,PA,1
"Boston Heights",OH,14
Boucherville,QC,101
"Boulder City",NV,5719
Braddock,PA,167
Bradford,ON,122
"Bradford West Gwillimbury",ON,93
Bradfordwoods,PA,6
Brampton,CMA,8
Brampton,ON,6348
Bratenahl,OH,31
Brecksville,OH,719
Brentwood,PA,85
Brettin,ST,3
Bridgeville,PA,1699
Broadlands,IL,3
"Broadview Heights",OH,941
"Broadview Hts",OH,21
"Brook Park",OH,367
Brooklin,ON,39
Brookline,PA,60
Brooklyn,OH,824
Brooklyn,WI,18
"Brooklyn Heights",OH,11
"Brooklyn Hts.",OH,5
Brookpark,OH,99
Brossard,QC,943
Broxburn,WLN,3
Brunswick,OH,1050
"Brunswick Hills",OH,13
Bruntsfield,EDH,3
"Buckeye - Shaker",OH,4
"Buena Vista",PA,6
Burntisland,FIF,5
Burton,OH,218
"C Las Vegas",NV,25
Caledon,ON,134
"Caledon East",ON,25
"Caledon Village",ON,1
Camargo,IL,1
Candiac,QC,2
Canonsburd,PA,4
Canonsburg,PA,1223
"Canyon Village",AZ,1
Carefree,AZ,1190
Carnegie,PA,1230
Casablanca,VS,11
"Castle Shannon",PA,53
"Cave Creek",AZ,6685
Cecil,PA,142
"Centennial Hills",NV,31
"Central City",AZ,6
"Central City Village",AZ,23
"Central Henderson",NV,22
"Centre Island",ON,3
"Chagrin Falls",OH,1764
"Chagrin Highlands",OH,3
Chambly,QC,48
Champaign,IL,17805
Champlain,NY,43
Chander,AZ,3
Chandler,AK,13
Chandler,AZ,82667
Chandler-Gilbert,AZ,7
Char,NC,6
Chardon,OH,429
Charlemagne,QC,2
Charlote,NC,4
Charlotte,NC,160090
"Charlotte (University)",NC,14
"Charlotte NC",NC,2
Chatauguay,QC,3
Chateau,PA,3
Chateauguay,QC,65
Chertsey,QC,3
Chester,CHE,454
"Chester Township",OH,42
"Chester, UK",CHE,5
Chesterland,OH,625
Cheswick,PA,83
"Chomedey, Laval",QC,3
Churubusco,NY,6
Citibank,NV,1
"CITY CENTER",NV,19
"City of Edinburgh",EDH,15
Clairton,PA,91
Claremont,ON,4
Clark,NV,159
"Clark County",NV,44
Clarkson,ON,8
Cleveland,OH,62423
"Cleveland Heights",OH,4691
"Cleveland Hghts.",OH,18
Clinton,PA,48
"columbia station",OH,106
Communauté-Urbaine-de-Montréal,QC,12
Concord,NC,8228
Concord,OH,130
Concord,ON,899
"Concord Mills",NC,189
"Concord Township",OH,2
"Concord Twp",OH,6
"Concord Twp.",OH,1
Cooksville,ON,5
Copley,OH,248
Coraopolis,PA,1715
Cornelius,NC,4688
"Cote Saint-Luc",QC,11
Cote-Saint-Luc,QC,16
"Cottage Grove",WI,221
Cowdenbeath,FIF,3
Crafton,PA,90
Cramerton,NC,241
Cramond,EDH,6
Creighton,PA,12
Crescent,PA,5
"Cross Plains",WI,208
Cuddy,PA,8
Currie,EDH,4
"Cuyahoga Falls",OH,3349
"Cuyahoga Fls",OH,9
"Cuyahoga Heights",OH,15
"Dalgety Bay",FIF,3
Dalkeith,MLN,49
Dallas,NC,131
Dane,WI,13
Davidson,NC,1738
"De Forest",WI,177
DeForest,WI,249
Delson,QC,25
Denkendorf,BW,15
Denkendorf,BY,5
"Desert Ridge",AZ,5
"Deux-Montagnes Regional County Municipality",QC,7
Dewey,IL,2
Ditzingen,BW,84
"Dollard-Des Ormeaux",QC,31
Dollard-Des-Ormeaux,QC,721
"Don Mills",ON,76
Dormont,PA,59
Dorval,QC,789
Downsview,ON,19
Downtown,PA,58
"Downtown Toronto",ON,14
Dravosburg,PA,43
Dudley,ABE,9
Dunfermline,FIF,111
Duquesne,PA,27
"East Ajax",ON,13
"East Cleveland",OH,24
"East Credit",ON,4
"East Gwilimbury",ON,3
"East Gwillimbury",ON,124
"East Liberty",PA,36
"East Loth",ELN,3
"East Lothian",ELN,10
"East Mc Keesport",PA,13
"East McKeesport",PA,8
"East Mesa",AZ,7
"East Mississauga",ON,10
"East Pittsburgh",PA,28
"East York",ON,1102
Eastlake,OH,440
Edgewood,PA,17
Edgeworth,PA,1
Edimbourg,EDH,2
Edinburgh,EDH,31816
Edinburgh,ELN,5
Edinburgh,FIF,5
Edinburgh,GLG,1
Edinburgh,KHL,5
Edinburgh,MLN,1076
Edinburgh,NTH,14
Edinburgh,PKN,18
Edinburgh,SCB,5
Edinburgh,XGL,23
Edinburgh,ZET,2
"Edinburgh City of",EDH,4
"El Mirage",AZ,884
Elizabeth,PA,153
"Elk Grove Villa",IL,30
Elrama,PA,17
Elyria,OH,971
Emsworth,PA,63
Enterprise,NV,190
Essex,PA,34
Esslingen,BW,700
"Esslingen am Neckar",BW,120
Estérel,QC,13
"Estrella Village",AZ,4
Etna,PA,85
Etobicoke,ON,6842
"Etobicoke On",ON,2
Etobiicoke,ON,9
Euclid,OH,521
Fabreville,QC,4
Fairlawn,OH,1398
"Fairport Harbor",OH,77
Fairview,NC,212
"Fairview Park",OH,1188
Farnham,QC,7
Fellbach,BW,496
Filderstadt,BW,297
Finleyville,PA,78
"Firth of Forth",EDH,13
Fisher,IL,2
Fitchburg,WI,2429
Fitchburgh,WI,2
Fithian,IL,3
"Forest Grove",PA,5
"Forest Hills",PA,37
"Fort  Mill",SC,37
"Fort McDowell",AZ,233
"Fort Mill",NC,6
"Fort Mill",SC,5711
"Fountain Hills",AZ,3721
"Fountain Hls",AZ,3
Fountainbridge,EDH,5
"Franklin Park",PA,8
Frazer,PA,527
Freiberg,BW,4
Freyburg,ST,30
"Ft. Mill",SC,43
Fullerton,NV,8
"Garfield Heights",OH,218
"Garfield hts",OH,3
Gastonia,NC,3637
"Gates Mills",OH,42
Geauga,OH,11
Gelndale,AZ,7
"George Town",CHE,3
Georgetown,ON,212
Gerlingen,BW,105
Gibsonia,PA,715
Gifford,IL,8
Gilbert,AZ,65565
"Gilbert AZ",AZ,4
Gillbert,AZ,3
Glasgow,EDH,11
Glassport,PA,22
Glbert,AZ,2
"Glen Williams",ON,5
Glendale,AZ,51485
"Glendale Az",AZ,59
Glenrothes,FIF,22
Glenshaw,PA,352
Godmanchester,QC,3
Goodwood,ON,19
Goodyear,AZ,14474
"Goodyear AZ",AZ,2
Gorebridge,MLN,10
Gormley,ON,31
Grafton,OH,98
"Grand River",OH,146
"Green Tree",PA,55
"Green Valley",NV,9
"Greenfield Park",QC,79
Guadalupe,AZ,293
