word,freq
dinner,24
location,10
needed,3
use,12
washroom,7
owner,11
deny,2
us,53
access,1
already,8
terrible,122
need,8
costumer,1
service,152
order,79
two,17
took,42
half,7
crepes,4
cold,64
thick,1
sitting,4
told,22
manger,3
explained,1
suppose,2
apologize,4
offer,5
remake,1
decided,5
pay,16
horrible,104
experience,35
would,58
never,102
come,44
could,26
give,29
stars,11
rude,36
customer,52
watered,2
save,6
time,40
money,18
go,92
somewhere,7
calamari,2
fish,14
tacos,5
butter,10
chicken,178
came,35
around,12
lunch,18
chef,4
dying,1
hair,10
making,8
sushi,26
slightly,2
disgusting,25
fact,4
dye,1
ordered,72
kalbi,1
bento,4
beef,23
ribs,3
alright,6
anything,13
rolls,9
except,1
eat,47
disgusted,3
coming,13
waitress,19
unable,1
take,21
manager,14
bathroom,3
covered,4
stepped,2
pants,1
shoes,1
smell,6
nasty,5
disappointed,39
beyond,3
refuse,4
another,12
burger,19
tell,7
everyone,2
know,26
visitors,1
group,8
sort,1
looking,7
forward,1
rainy,2
friday,5
night,10
think,20
wood,1
rooster,1
cosy,1
sadly,2
lackluster,1
drinks,14
tasted,29
like,95
boozy,1
lemon,3
tea,6
patio,2
wings,16
looked,14
homemade,2
sauce,19
undercooked,4
place,131
felt,10
university,1
bar,12
trying,9
bit,10
wonton,1
soup,18
worth,10
worst,179
life,3
food,242
tasteless,18
wirst,1
end,4
asked,30
pack,1
remaining,1
person,7
aour,1
gave,12
boxes,2
said,20
rediculous,1
back,16
probably,8
one,53
ramen,5
cook,3
even,67
bad,150
bother,8
u,8
get,54
town,2
look,11
server,19
every,8
want,29
shame,1
running,1
tried,29
veggie,7
also,37
trade,1
mark,1
sabaya,1
wrap,5
counter,5
seating,1
believe,7
paid,15
disgrace,1
neapolitan,1
rating,2
system,1
dt,1
bistro,1
transform,1
perception,1
dessert,5
recognition,1
anywhere,5
recommend,31
see,11
quite,7
pricey,3
got,70
stone,2
pizza,49
wrong,17
toppings,3
premium,3
called,15
denial,1
ruined,3
pizzasorry,1
phone,6
hung,6
classico,1
awful,37
served,6
stale,7
complained,1
waiter,13
dave,1
well,13
replied,2
least,3
inform,1
face,1
caesar,3
people,22
mins,9
crappy,5
caesars,1
twice,4
long,5
waiting,19
times,12
longer,2
drink,8
booked,2
table,17
pm,5
rushed,2
bill,16
minutes,27
finished,7
expensive,13
hate,9
star,8
boring,9
grilled,6
guess,8
consistency,1
shawarma,10
ever,86
court,2
cramped,2
takeout,5
idea,5
hype,1
ali,2
baba,2
horrific,2
recieved,1
ice,6
comment,2
quality,16
good,8
shrimp,8
dumplings,2
dry,9
sechuan,1
everything,11
way,16
vegetarian,4
still,26
dish,13
curry,9
noodle,7
thought,8
leftovers,1
resist,1
finishing,2
started,5
review,12
consideration,2
dropped,4
however,9
moot,1
point,4
walking,3
today,6
quand,2
je,5
suis,2
toronto,14
il,4
quelques,2
semaines,1
de,30
souper,1
mais,4
ne,4
voulais,1
rien,1
trop,2
les,4
gens,1
chez,1
qui,5
restait,1
nous,5
dit,1
pas,7
avait,1
un,11
endroit,1
faisait,1
des,3
au,5
poulet,2
beurre,1
bon,2
le,8
comme,2
bloody,3
toute,1
une,2
leur,2
donc,1
ce,3
que,12
et,4
rafraichissant,1
plein,1
la,6
liste,1
en,8
est,6
aussi,1
mal,2
bonne,2
avec,6
plusieurs,1
micro,1
brasseries,1
demandez,1
assis,1
sur,2
terrasse,2
haut,2
pour,4
dans,2
beau,1
petit,1
recoin,1
plus,8
intime,1
grande,1
delivery,19
iike,1
raw,2
considering,2
went,40
craving,6
pho,4
friend,12
taste,28
lot,5
rice,27
kinda,3
price,6
viet,1
closed,2
kitchen,6
close,16
really,28
ruining,1
guys,4
ratings,1
rocks,1
house,4
graduated,1
george,1
brown,2
across,4
miss,5
xoxo,1
since,6
renovated,1
salad,15
king,1
always,25
run,9
dirty,21
shisha,2
tastes,7
stay,10
awayyy,1
must,6
churro,1
waffles,4
soggy,9
crispy,3
fried,32
part,4
friends,6
room,1
getting,3
drinking,2
desserts,2
lifeless,2
writer,1
condone,1
street,6
meat,6
procured,1
avoid,12
snarky,1
tall,1
bartender,4
gotta,2
wait,20
min,9
boooooo,1
restaurant,43
sticky,3
google,3
business,10
read,3
treatment,1
employees,3
paying,3
reason,9
giving,5
start,6
forever,9
pancakes,1
blueberry,1
happy,1
pannange,1
pad,12
kee,1
mao,1
gaeng,1
kiew,1
absolutely,13
salesman,1
suprised,1
halal,3
certificate,2
mad,3
leave,9
th,3
dont,10
rule,2
says,1
hv,1
nothing,15
falafel,6
sandwich,19
zero,6
husband,2
fasting,1
hours,17
starving,3
finish,9
umi,1
spot,1
path,1
grab,1
selections,1
