word,freq
surprisingly,81
limited,15
number,61
korean,213
options,247
area,264
think,310
best,4151
one,1684
came,648
group,171
ordered,774
kimchi,78
vegetable,43
stew,36
shared,104
fried,268
dumplings,125
seafood,204
always,1384
try,997
order,487
pancake,38
chock,1
full,191
ingredients,145
cooked,373
perfectly,388
crispy,151
delicious,2623
couple,168
friends,433
also,1322
stonepot,1
udon,25
raved,8
next,106
nice,1937
patio,435
cheap,213
food,5879
ate,129
momos,13
momo,10
lot,307
decided,93
eat,604
restaurant,1004
mutton,9
thali,11
equally,26
pani,3
puri,3
great,8649
woman,18
ripped,1
us,500
made,611
pay,88
unreasonable,2
amount,145
customer,215
service,3456
tried,513
based,74
yelp,85
reviews,105
reservations,63
recommended,142
weekends,29
good,5441
sashimi,125
quality,554
amazing,1596
special,263
rolls,206
maple,30
crunch,21
ridiculously,8
everything,701
menu,798
spicy,366
shrimp,193
tiny,15
tucked,19
away,98
crosstown,1
mud,1
friendly,1321
staff,1292
hesitate,11
experience,405
come,721
wonderful,641
lovely,258
would,1165
highly,441
pleasantly,36
aburi,18
massive,10
plate,116
bulgogi,29
side,278
tasty,467
kimchee,2
including,81
vietnamese,67
fish,532
sauce,362
authentic,297
decor,347
super,453
went,683
dinner,607
friday,83
october,4
fabulous,55
meal,524
relaxed,66
beautifully,67
presented,54
home,265
bread,270
dip,39
kale,45
caesar,86
salad,544
house,201
tagliatelle,5
pork,455
belly,91
tiramisu,30
awesome,1026
definitely,784
five,77
people,496
dined,22
happy,442
potato,130
pancakes,97
brunch,455
could,430
used,120
seasoning,20
apples,4
served,213
sugary,4
right,214
level,56
say,344
place,4081
like,1294
market,34
atmosphere,931
placed,8
beautiful,379
interior,101
merry,5
go,1515
around,295
set,54
old,70
telephone,2
booth,11
stained,2
glass,64
deal,112
includes,20
appetizer,132
dessert,265
rather,59
somewhere,36
else,165
want,384
better,568
favorite,264
lunch,761
burritos,46
downtown,160
send,5
visitors,10
time,868
love,1865
burger,537
corner,42
agree,18
lack,28
seating,138
problem,24
otherwise,52
really,1594
seriously,24
ambience,189
sampler,24
platters,20
meats,61
sides,50
brussel,24
sprouts,37
wheat,7
berry,8
die,194
ya,7
get,1130
tender,108
juicy,80
well,753
fresh,836
speedy,9
sushi,737
eglinton,9
colombian,6
beef,448
empanadas,19
ever,952
veggie,150
looks,86
keep,150
getting,122
mini,30
section,17
latin,7
excellent,1695
thai,509
attentive,258
helpful,128
prices,470
lamb,233
korma,5
garlic,128
quiet,42
going,347
drinks,462
affordable,96
plus,124
huge,223
fan,109
whenever,65
craving,85
hardy,4
soup,379
break,33
calls,4
vegan,229
crepes,58
times,333
still,356
back,539
combo,106
perfection,46
find,275
kensington,39
quite,402
got,657
skinny,5
ambiance,300
dimly,1
twice,122
servers,176
indian,213
seek,4
tastes,143
offers,14
loved,749
sooooo,17
pizza,710
stove,3
warm,280
weather,24
must,461
ok,146
changed,43
name,78
pho,194
huong,3
look,132
mi,36
tri,1
ky,2
visit,247
fact,57
somewhat,28
spring,94
glad,120
found,223
something,254
close,138
cure,6
fix,39
happens,8
often,131
prefer,52
church,12
location,361
easily,67
persuaded,1
either,47
regardless,7
soul,16
watering,21
sunny,34
afternoon,51
katsu,25
spoke,7
ladies,21
looked,97
forward,92
malaysian,11
owner,248
pastries,63
selection,572
swedish,7
wish,226
little,155
spot,520
near,32
share,76
line,114
ups,7
relax,35
enjoy,236
bottle,55
wine,440
accommodating,55
dishes,412
tasting,159
gets,76
busy,137
might,88
wait,506
seat,43
family,282
meals,124
coming,288
variety,239
vegetables,42
recommend,896
someone,62
said,138
let,95
fool,11
unassuming,11
kabab,13
adana,1
kebab,15
salads,81
appetizers,102
kjopoolu,1
eggplant,53
pepper,18
nick,1
host,30
mention,59
bring,139
small,79
table,311
many,460
vegetarians,26
last,101
grilled,254
piece,36
salmon,236
turkish,27
falafel,59
lebanon,1
tasted,204
sweets,15
tea,167
finish,72
nutella,33
cute,136
store,40
enjoyed,422
looking,378
probably,287
post,13
stalk,1
rona,1
parking,64
upper,2
eye,22
trailer,1
ready,27
infused,13
cardamom,3
flavors,54
hailed,3
chocolate,235
free,238
hang,87
take,393
long,76
told,65
waiter,142
liked,192
sweeter,2
quickly,51
suggested,19
another,167
perfect,960
incredible,204
donnie,1
brasco,1
boyfriend,95
aloha,3
fennel,6
sausage,91
crust,77
thin,12
smoke,27
twist,12
hawaiian,7
pineapple,30
salsa,40
added,63
sweetness,18
worship,1
nights,36
bar,411
tending,2
know,278
engaging,9
crowd,41
pumped,4
mix,74
overpriced,53
except,37
beers,151
wanted,128
ran,17
nothing,261
phone,19
platter,86
make,606
sure,356
apple,70
cake,169
disappoint,21
matcha,27
tart,34
desserts,105
stopped,101
beer,486
customized,6
party,113
flavorful,50
unlike,14
outdoor,58
vegetarian,227
mouth,75
even,687
thinking,40
afghan,5
write,35
midst,4
worth,448
gourmet,34
schnitzel,27
whim,9
thoroughly,45
impressed,199
cappuccino,25
bistro,31
brisket,84
poutine,149
day,276
hit,65
gone,44
move,18
doubles,12
blowing,6
minds,2
sending,3
please,51
italian,106
interesting,135
buffet,74
places,316
unique,152
stories,2
lurking,1
tasteful,15
lobster,187
bit,563
pricey,176
weekend,86
harm,1
splurging,2
allows,8
escape,6
octopus,68
squid,32
entree,44
big,127
fantastic,326
server,303
polite,56
knowledgable,19
priced,148
dining,185
anniversary,33
incredibly,139
po,13
boy,27
wife,120
dukbokki,1
friend,294
pieces,30
cheaper,35
h,3
mart,1
street,128
layout,16
asian,13
btw,4
galleria,2
brand,8
cherry,12
topped,42
cheesecake,46
almond,42
sponge,4
space,143
pretty,289
reservation,98
ahead,55
according,15
groupon,20
pleasant,180
inexpensive,35
portions,372
con,9
minimum,8
hours,61
juice,44
station,21
provide,37
cleanse,1
detoxify,1
ur,10
choose,98
eggs,274
benny,58
missed,23
serve,117
numerous,8
par,35
tout,16
pas,38
parfait,10
mais,31
je,32
pense,3
que,31
un,84
jeu,1
de,159
circonstances,1
car,20
ce,18
nourriture,5
si,16
le,86
du,33
boeuf,10
bourguignon,4
maman,1
demande,1
beaucoup,1
bon,19
saumon,3
canard,1
confit,30
exquis,1
et,85
la,147
cerise,2
sur,16
gateau,2
bien,13
pain,17
servi,2
au,45
surement,1
fois,6
mange,3
aussi,5
france,7
quel,1
rien,3
redire,2
notre,5
serveur,4
aux,12
petits,3
soins,1
pour,59
seul,2
hic,3
fin,3
nous,22
avons,7
attendu,1
min,16
informatique,1
donc,6
soir,3
st,42
valentin,1
moyen,1
ils,3
ont,4
boisson,2
lieu,8
vraiment,4
typiquement,1
francais,1
quand,8
petit,15
entendre,1
gainsbourg,1
sweet,208
hardworking,2
price,577
slices,19
city,236
feels,61
thickness,6
cookies,41
dreams,6
ice,186
cream,183
instagram,11
satisfy,18
icecream,3
experiences,42
miku,14
sits,5
towards,8
higher,22
end,131
however,203
suggest,63
sharing,47
able,84
split,52
dinners,16
far,116
gorgeous,52
hummus,35
baked,149
comfort,61
depending,20
annual,3
call,77
see,207
ramen,211
part,155
sansotei,4
describe,25
flavour,138
unmatched,2
although,110
meat,393
lacking,19
sometimes,73
satisfied,37
lineup,18
luck,12
winters,1
dress,4
dans,27
genre,4
ville,4
refuse,3
faire,6
style,145
mets,4
exemple,1
fameux,1
ces,3
sandwichs,2
fromage,2
avec,28
porc,2
frites,62
cuites,1
graisse,1
reste,2
des,26
bonne,6
soupe,2
dinde,1
macaroni,7
hamburger,20
gagner,1
endroit,1
magnifique,2
quartier,5
en,44
vogue,1
comme,10
est,38
incroyablement,1
mexicain,1
vous,25
pourrez,1
terrasse,5
impeccable,53
rapide,2
rush,34
broyage,1
guacamole,43
votre,9
tapas,55
ou,18
prix,32
coriandre,1
quasiment,1
tous,4
les,42
cocktails,167
une,37
belle,4
se,7
rejoindre,1
entre,1
amis,2
hiver,1
wandered,6
stop,160
lo,3
goods,46
provisions,1
front,83
check,176
sloe,1
gin,16
fizz,3
delightful,72
penicillin,1
amazingly,36
duck,162
fat,48
fries,440
three,105
ways,8
bathrooms,14
bimbimbap,1
mackerel,9
rice,315
toronto,597
deserves,34
customers,48
hopefully,11
emptiness,1
means,25
tommy,1
son,40
guy,60
generally,18
hire,6
gimbap,1
mandu,1
nowhere,4
homemade,128
work,245
smile,24
gonna,19
