id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
--9e1ONYQuAa-CB_Rrw7Tw,"Delmonico Steakhouse","The Strip","3355 Las Vegas Blvd S","Las Vegas",NV,89109,36.1232,-115.169,4,1451,1
--DdmeR16TRb3LsjG0ejrQ,"World Food Championships","The Strip","3645 Las Vegas Blvd S","Las Vegas",NV,89109,36.1143,-115.171,3,5,1
--e8PjCNhEz32pprnPhCwQ,"Lucky's Pet Grooming & Boutique",Downtown,"1460 E Charleston Blvd","Las Vegas",NV,89104,36.1589,-115.133,3.5,19,1
--o5BoU7qYMALeVDK6mwVg,"Nightlife Tours",University,"1516 E Tropicana Ave, Ste 275","Las Vegas",NV,89109,36.1016,-115.132,3.5,6,1
--q7kSBRb0vWC8lSkXFByA,"Double Play Sports Bar",Southeast,"9495 Las Vegas Blvd S","Las Vegas",NV,89123,36.0167,-115.173,4,7,0
--WsruI0IGEoeRmkErU5Gg,"Dial Carpet Cleaning",Westside,"3111 S Valley Vw, #H-104","Las Vegas",NV,89102,36.1309,-115.191,5,14,1
--Y7NhBKzLTbNliMUX_wfg,"Pinnacle Restoration","Spring Valley",,"Las Vegas",NV,89148,36.0612,-115.29,5,8,1
--z7PM8AGaJP0aBmGMY7RA,"Nacho Mobile Auto Repair",,"2954 Westwood Dr","Las Vegas",NV,89109,36.1357,-115.176,4.5,18,1
-0BxAGlIk5DJAGVkpqBXxg,"The Coffee Bean & Tea Leaf","The Strip","3355 Las Vegas Blvd S","Las Vegas",NV,89162,36.1221,-115.168,3,40,1
-0d4L4U3vKnTT0MEgyX_WA,"Pick N Puff",,"6620 W Flamingo Rd, Ste 9","Las Vegas",NV,89103,36.115,-115.237,5,10,0
-0KSt9tXv6C015vmAcSIcg,"Leisure Lawn",Southwest,,"Las Vegas",NV,89139,36.0402,-115.224,5,3,1
-0qht1roIqleKiQkBLDkbw,"Cancun Resort Las Vegas by Diamond Resorts",Southeast,"8335 Las Vegas Blvd S","Las Vegas",NV,89123,36.038,-115.173,3,322,1
-0qqsy04kcYdXH3DOciaZw,"Eagle Crest Golf Course",Summerlin,"2203 Thomas W Ryan Blvd","Las Vegas",NV,89134,36.2008,-115.334,3.5,28,1
-0VImVWDeqewaA3th8fzIg,"Bachelor Vegas",,"4290 Cameron St, Ste 3A","Las Vegas",NV,89103,36.1119,-115.203,5,13,1
-153AjTW5luZPK4omEujWA,"Jody Maroni's Sausage Kingdom","The Strip","New York New York Hotel & Casino, 3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.103,-115.174,3,5,0
-17RjDnOY9c7IsCcYUjx5Q,"Catholic Charities",Westside,"915 S Rainbow Blvd","Las Vegas",NV,89145,36.1611,-115.245,3,12,0
-1dMU2kz5AhTC6N1W9xwuQ,"Ted Wiens Tire & Auto",Chinatown,"3810 Spring Mountain Rd","Las Vegas",NV,89102,36.1271,-115.191,3.5,25,1
-1Jq9x77Es6Ce1EJM4WhwQ,"Bruce Trent Park",Summerlin,"8851 Vegas Dr","Las Vegas",NV,89128,36.1866,-115.286,4,16,1
-1m9o3vGRA8IBPNvNqKLmA,"Bavette's Steakhouse & Bar","The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1043,-115.176,4.5,38,1
-1MVd6ljY2JT6gCKnrc-uw,"U-Haul Neighborhood Dealer",Summerlin,"1650 Crestdale Ln","Las Vegas",NV,89144,36.1905,-115.317,4,4,1
