id,business_id,user_id,stars,date,text,useful,funny,cool
----X0BIDP9tA49U3RvdSQ,Ue6-WhXvI-_1xUIuapl0zQ,gVmUR8rqUFdbSeZbsg6z_w,4,"2014-02-17 00:00:00","Red, white and bleu salad was super yum and a great addition to the menu! This location was clean with great service and food served at just the right temps! Kids pizza is always a hit too with lots of great side dish options for the kiddos! When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,0,0
---0hl58W-sjVTKi5LghGw,Ae4ABFarGMaI5lk1i98A0w,Y6qylbHq8QJmaCRSlKdIog,4,"2016-07-24 00:00:00","Ate the momos during the momo crawl.. Was the best of the lot so decided to eat at the restaurant and the mutton thali was equally good!!",0,0,0
---3OXpexMp0oAg77xWfYA,lKq4Qsz13FDcAVgp49uukQ,SnXZkRN9Yf060pNTk1HMDg,5,"2012-04-07 00:00:00","Pizza here made my night... Good people and great pizza. They can do anything you ask with a great attitude!",2,0,0
---65iIIGzHj96QnOh89EQ,6nKR80xEGHYf2UxAe_Cu_g,VcmSgvslHAhqWoEn16wjjw,5,"2015-09-11 00:00:00","Great brisket sandwich as claimed. Weird that it's a gas station/ hipster bbq lunch spot/ hallmark store carwash.",0,0,0
---7WhU-FtzSUOje87Y4uw,Z_mJYg3vi8cPZHa1J4BALw,NKF9v-r0jd1p0JVi9h2T1w,5,"2016-01-22 00:00:00","Interesting food, great atmosphere, and great service. I like this place because there really isn't anything like this around the Charlotte area. I will definitely be coming back!

Oh, and MILK BREAD.",1,1,1
---94vtJ_5o_nikEs6hUjg,R1PQEK6qvrZVC9qcWfKvDA,c2MQ_LPuvtiiKFR_-OY9pg,5,"2014-09-17 00:00:00","One of my absolute favorite restaurants! I usually go to the one on Sahara but I finally moved over by UNLV and was so privileged enough to have one newly opened here! The staff are soooo nice and friendly, and the restaurant renovations are so gorgeous and such a comfortable environment! Amazing prices for amazing food!! :)",1,0,0
---aCMjwX1f4XdJMkJmZUw,Ohmd6oSH-BvdKxGcmbkQRw,3PnZeTU8S5_JUWkd8Y3CnA,5,"2013-04-09 00:00:00","We went yesterday as a family and had a complete blast!! I would definitely recommend going! We had Kelli as a guide and she was fantastic, she kept us all laughing and was really knowledgable about the river and history surrounding it.",0,0,0
---D6-P4MpS86LYldBfX7w,Y-S2LhHefBdnX8VP5Bh_JA,mCa0WvcSCwtdfeUyhhfg8w,4,"2016-05-23 00:00:00","I don't know why this place only has 3 stars but it's been a lifesaver for me! If you're staying at the Mandalay Bay and Looking to eat semi-healthy, not spend too much money and not looking to travel far, this place is perfect. The café is open 24 hours and they offer salads, sandwiches, wraps and smoothies. A much better alternative to late night French fries or the $19 room service Cobb salad before service charge and gratuity. The staff was friendly except when I asked for some hot sauce to go, one chick said not a word to me and slammed a bottle of Tabasco sauce on the counter in front of me without giving me a Togo Ramekin. I was tempted to walk away with the bottle. But I didn't. My tuna salad wrap was $11 and some change and pretty hearty. I saved the other half for later.",0,0,0
---EJJ7Ou0mbUhB_KLHwvA,NXoGguzSd3DrsaGRIQXLpg,M-LtQxAxEVZ-LdNLXbpQnA,1,"2016-01-04 00:00:00","Boarded my English Mastiff here over New Year's.  They're closed on Sunday, so even though we got home on Sunday, we had to leave him here another day (and pay for another day) because we couldn't pick him up until Monday morning.  He got a complimentary bath with his boarding.  When I did pick him up, once I got him in the car I noticed a very pungent, musky odor.  Couldn't figure out what it was until I got him home the smell was so bad I had to leave the car windows open to air it out.  He had a greenish "material" on the underside of his tail and around his butt.  I tried to clean it off.  Let him outside and he had watery diarrhea.  I called them and asked why the stinky green stuff wasn't noticed by their groomer.  They said he did notice it and figured he had "rolled in something".  They didn't clean it all off and sent him home that way.  It was anal gland secretions, and I'm thinking why a groomer, working at a veterinary hospital wouldn't recognize that and go grab a tech somewhere (they're all over the place) to have them take a look.  I had to bring my poor dog all the way back over there, making me late for work, for something they never should've sent him home with.  They did express his anal glands, but brought him out to me still stinky and leaving oily green stuff where he was sitting in their lobby.  I asked the gal behind the counter "what is this", she tried to tell me it was soap.  I asked for a tissue and wiped it up, showed it to her and asked "does this look like soap?  Would you like to tell me if you think it smells like soap?"  They AGAIN took him back and cleaned him off.  Then prescribed anti-diarrheal medication as they noticed he had bad diarrhea while he was back there.  I will never board my dog here again.",2,3,2
---g6CDTpsZqTYdcDoI2Hw,sBzefmmiXkEQLGvUNemPMg,47f21XiNtNr2lRjCTbDPvA,2,"2012-01-04 00:00:00","I purchased a package of 10 spray-tans through Groupon on December 13, 2011.  I was very excited because I have been to other Hollywood Tans locations in the past and been pleased with the experience.  

On my first visit, I attempted to present the Groupon using the Groupon app on my iPhone.  I was rudely told me that the phone screen would not suffice and that I would have to print the coupon and physically present it to them.  

I returned the next morning with the printed copy in hand.  The desk attendant took the paper and entered my information into the computer.  She then told me that I would have to pay an additional $4 for the spray tan cartridge.  This additional fee was not disclosed anywhere in the Groupon deal write-up and increased the cost of each tan by 58%.  I was disappointed, to say the least.

I know that Groupon catches a lot of flack for situations like these, but really it is the fault of the individual businesses.  They clearly used deceptive advertising to rope people in on the Groupon deal and surprise them with the additional costs.  

Between the snobby, crispy desk attendant I interacted with the first night and the deceptive advertising, this experience has left a seriously bad taste in my mouth.  I have asked Groupon for a refund and I will not be returning to the Shadyside Hollywood Tans.",12,6,1
