"","Average Stars","Number of Check-ins","Average Sentiment"
"1",3.5,148,0.169068830088397
"2",3,4,0.0632234348142667
"4",4.5,112,0.296373307269351
"5",3.5,318,0.15771828785571
"7",3.5,1,0.2595950292398
"8",3.5,1566,0.175975220107296
"9",3,103,0.136613395911499
"10",4.5,85,0.2806449692418
"11",4,504,0.216085846901388
"14",3.5,112,0.135008565734246
"15",4,70,0.232271132617428
"16",3.5,8,0.12447950382949
"17",3,6,0.00782196969694999
"18",2,1,0.0511939208553375
"19",3,15,0.119859575774592
"20",3.5,43,0.274760679764738
"21",3,56,0.174973724524605
"26",4,10,0.266964285714
"28",4,274,0.22344399339289
"29",3,39,0.18056754024622
"30",4,299,0.208721936632752
"31",4.5,2,0.46
"32",3,155,0.212022118324829
"34",2.5,137,0.0659007111305153
"35",5,103,0.312797864198212
"36",3.5,100,0.186616169540527
"38",4.5,118,0.265170875046661
"39",3,338,0.186688804141883
"40",4,14,0.06432539682525
"41",3.5,73,0.172842734479218
"42",1.5,6,0.235
"43",4,440,0.190622449640891
"45",3,194,0.1567068106576
"47",2.5,120,0.179673865496656
"48",3.5,11,0.21937426132065
"49",3,11,-0.03634776334774
"51",3.5,2,0.04456380461656
"53",4.5,1,0.490147058823667
"54",3.5,586,0.237478453117803
"55",3,165,0.173965350420089
"56",4,84,0.2759464364431
"57",4,291,0.19747261839867
"58",3,74,0.183947323473893
"59",2.5,50,0.013195075757625
"60",4.5,34,0.280630684487615
"61",3,309,0.136366467105391
"62",4,83,0.291303838252436
"64",3,167,0.190956120950689
"65",3.5,18,0.171314205510227
"66",2.5,8,0.0588895941462
"67",4,638,0.287648150677924
"69",3.5,276,0.22523856362766
"71",2.5,12,0.0414967563301083
"72",4,408,0.228132290733779
"73",3,13,0.162408401964626
"74",3.5,112,0.144697716526262
"75",4,6,0.371343139595
"76",4,129,0.258525197822645
"78",3,39,0.170048011104822
"79",3.5,2,0.1291666666665
"81",3.5,9,0.14121226763425
"82",4,16,0.176037060166467
"83",3.5,8,0.0719441819937286
"84",3.5,155,0.206238531304224
"85",3.5,10,0.305560698359625
"88",3,36,0.213586429963847
"90",3.5,209,0.161423603647517
"91",3.5,18,0.121473103907426
"92",3.5,109,0.178966624053671
"93",3.5,97,0.222070180645697
"94",3,10,0.232270538720527
"97",3,21,0.191585180508867
"99",4,179,0.201118820622773
"100",2.5,30,0.01714772818372
"101",3.5,20,0.185024840355737
"102",3,15,0.239091659764769
"103",4,4,0.360888571254638
"104",3.5,261,0.199430930591871
"105",4,6,0.1576562926561
"107",3.5,205,0.200530525052351
"108",4,1,0.157556424273167
"109",4,58,0.193331269425056
"110",4,14,0.222042454046064
"111",3.5,18,0.198764484615125
"113",4.5,11,0.336915996150429
"114",3.5,61,0.154075503550688
"115",4,57,0.206944388855773
"116",3.5,80,0.190681978372874
"117",4,2,0.269659090909
"120",3.5,63,0.143470268625742
"122",4,9,0.123653383886939
"123",3,134,0.15362523735828
"124",3,155,0.14713544723568
"125",4.5,6,0.1204441287878
"126",3,76,0.195768310371221
"127",3.5,77,0.159608956552707
"128",2,9,0.0912366905349022
"129",2,4,-0.221208112875
"130",4.5,149,0.145996279767232
"131",4,7,0.38828124999985
"132",4,8,0.373073342229353
"133",4,85,0.183358611607645
"134",3.5,44,0.218128742394536
"135",4,7,0.162598499879705
"136",4,58,0.5136444805195
"137",3.5,15,0.24274443802112
"138",2.5,104,0.0799628673507837
"139",3.5,2,0.156322751322733
"140",3.5,34,0.283608255170833
"141",4,36,0.205753212836533
"144",2.5,3,0.0479736086353
"145",3.5,10,0.293519500183862
"146",4,108,0.3214200071556
"149",3.5,21,0.071678495116
"150",3,75,0.109805689883997
"152",3.5,185,0.228908485478804
"154",3.5,93,0.217412917321407
"155",4,67,0.279951492471689
"156",3,15,0.145691787351647
"157",4.5,10,0.19673782221225
"158",4.5,28,0.368199664918462
"159",3.5,46,0.165579536796242
"160",4,1,0.18117167092177
"161",3.5,3,0.109937229437
"162",4.5,16,0.255581210996732
"163",3,26,0.094508161391225
"165",2.5,9,0.04896382783893
"166",3.5,12,-0.00340887614806
"167",3,50,0.156726227052283
"169",3,41,0.125309603108257
"170",2.5,58,0.154566780319545
"172",4,121,0.227169754316133
"174",4,55,0.304301531315644
"175",4,444,0.251075498383724
"176",3.5,786,0.246778451646782
"177",3.5,26,0.255137620052815
"179",3,1016,0.17759474088022
"180",4.5,9,0.441666666666667
"182",3,43,0.178405938077952
"183",4,63,0.218040420227923
"184",3.5,14,0.152151661590943
"185",3.5,6,0.139619935997429
"186",3.5,206,0.165588081281955
"187",4,14,0.219921250372143
"189",3,77,0.232607018309738
"190",3,2,0.076371964262475
"191",4.5,2,0.35269031954875
"193",3,4,0.149736451819733
"194",3.5,42,0.207441085884561
"195",4,34,0.282542151660425
"196",4,29,0.294375292009169
"197",4,116,0.151656540261515
"198",4,2,0.449090909091
"200",3.5,14,0.216637979681158
"203",3,349,0.186606030601632
"204",3.5,876,0.176482828040342
"205",3.5,10,0.231566768879533
"206",3.5,148,0.203792989304198
"207",3,276,0.176551134437149
"208",4,156,0.13105494271841
"209",3.5,239,0.182935182509505
"210",2,2,0.028600718065
"211",2.5,142,0.060998168731233
"212",3.5,130,0.23635792192325
"213",3.5,774,0.180094654307382
"216",2.5,30,0.0437680508561858
"219",4,153,0.143271647978922
"222",2.5,1,0.0193870835754943
"223",3.5,59,0.125572084485428
"224",3.5,34,0.197367251024209
"225",4,39,0.29023162575233
"226",2,16,0.3000679347825
"227",4.5,514,0.254019100037782
"228",4.5,3,0.3291666666665
"229",3.5,74,0.212925771003489
"230",4,96,0.227017946494946
"231",3,38,0.18042440961829
"232",3,29,0.107644876132314
"233",3,42,0.183357463216328
"234",3,2,0.26701822085394
"235",4,39,0.285640742259421
"236",3.5,484,0.200100357688918
"237",4,232,0.149684365068096
"238",1.5,45,0.0169104871968692
"239",3.5,65,0.175617474661115
"240",2.5,76,0.0990331416676635
"242",3.5,44,0.193637599906335
"243",3.5,34,0.22094345238109
"245",3.5,154,0.153468851964827
"246",3.5,51,0.188265766898024
"247",4,258,0.279022140646074
"248",3,18,0.1353572911962
"249",2.5,12,0.0785415072499833
"250",3.5,33,0.0607490028028047
"251",4,4,0.184405864197667
"252",3.5,368,0.183766439047779
"253",1.5,7,0.0517547123017
"254",3.5,37,0.221933261183167
"257",3,35,0.135495924790313
"258",4,2,0.163256290584404
"259",3,87,0.172747755942789
"261",4,462,0.261759770768642
"262",4,52,0.245445722754197
"263",3.5,3,0.304017526455167
"264",3,17,0.109006914381967
"266",2,5,0.11152777777778
"267",3.5,38,0.256177106826175
"268",4,180,0.240317643420302
"269",4.5,32,0.272198576789427
"270",3,119,0.152258234068879
"271",3.5,33,0.235677015019952
"272",3,1,-0.121672077922125
"273",3,133,0.0759488810568053
"275",2.5,261,0.133725174314922
"277",3.5,8,0.1702172950203
"278",3.5,51,0.187046680766188
"279",4.5,14,0.675
"280",3.5,6,0.102419518312411
"281",3,4,0.10275321104045
"282",4,122,0.228767098981458
"284",1,3,-0.100095977895
"285",3,2,0.02221148459372
"286",4.5,2,0.4293799407115
"287",3,165,0.164465917680176
"288",4,5,0.155527544350994
"290",3,204,0.141472782288051
"291",2.5,31,0.123727573984503
"292",3,4,0.078495372443636
"294",3.5,258,0.285602531651105
"296",4.5,78,0.359033119081545
"299",4,64,0.310649434812143
"300",4,92,0.256616987850694
"303",3,169,0.217805227080646
"304",3,295,0.177773571269932
"305",2.5,2,0.06573801006105
"306",2.5,24,0.0772964102146111
"307",4.5,54,0.211206461171887
"308",3.5,84,0.208752919072593
"309",3.5,21,0.151546116341673
"311",4,15,0.263372411282067
"312",3,5,0.0889271462419778
"314",3.5,36,0.176979599541598
"315",3,57,0.150054261506376
"317",5,12,0.300410307285517
"318",4,100,0.228247164529552
"319",4.5,5,0.459743818162243
"321",3,47,0.04523848877326
"322",4,105,0.237804945469229
"323",3.5,79,0.199753151130681
"324",3.5,141,0.248596851086877
"325",3,68,0.158260253731533
"326",3.5,1320,0.18653231600947
"329",2.5,19,0.123577543693142
"330",3,738,0.162274329282551
"333",5,1,0.33679166666675
"334",4,2,0.2815476190478
"335",3.5,390,0.158479215111349
"336",3.5,15,0.231753301733906
"337",3.5,54,0.280625092563525
"338",4,541,0.246709877617586
"339",3.5,322,0.238998159259054
"340",4,48,0.237459955471192
"341",4,217,0.193755287599903
"343",2.5,39,0.161612125075294
"344",3.5,19,0.216132917923906
"345",3.5,18,0.218634655192567
"346",2.5,720,0.123972305137076
"347",3.5,343,0.172295665697271
"351",3.5,4,0.0550457875457
"352",4.5,266,0.289712881057484
"353",4,78,0.15909682111749
"354",4,81,0.235842154099287
"355",4,9,0.235009004884
"356",3.5,245,0.243953825122727
"358",4,5,0.192259279750833
"359",3,14,0.146704061884646
"360",2,1,0.137324835658233
"362",4,993,0.231611274589128
"364",4,31,0.367811626865143
"365",4,221,0.267851987187958
"367",3.5,87,0.206224657445046
"368",5,16,0.282246047549429
"369",4,5,0.24997336917135
"370",3,84,0.172592879868436
"371",5,14,0.293898809524
"373",3,8,0.30183270676675
"374",3.5,64,0.193312867025684
"375",3.5,32,0.213141874337962
"376",3.5,22,0.163137885084938
"379",4.5,7,0.242232524770033
"380",3.5,9,0.173766150275818
"381",3,5,0.0534069325734575
"383",3.5,674,0.0404076577634328
"384",4,35,0.254973477115161
"385",3,1044,0.175963500264324
