id,business_id,category
1,FYWN1wneV18bWNgQjJ2GNg,Dentists
2,FYWN1wneV18bWNgQjJ2GNg,"General Dentistry"
3,FYWN1wneV18bWNgQjJ2GNg,"Health & Medical"
4,FYWN1wneV18bWNgQjJ2GNg,"Oral Surgeons"
5,FYWN1wneV18bWNgQjJ2GNg,"Cosmetic Dentists"
6,FYWN1wneV18bWNgQjJ2GNg,Orthodontists
7,He-G7vWjzVUysIKrfNbPUQ,"Hair Stylists"
8,He-G7vWjzVUysIKrfNbPUQ,"Hair Salons"
9,He-G7vWjzVUysIKrfNbPUQ,"Men's Hair Salons"
10,He-G7vWjzVUysIKrfNbPUQ,"Blow Dry/Out Services"
11,He-G7vWjzVUysIKrfNbPUQ,"Hair Extensions"
12,He-G7vWjzVUysIKrfNbPUQ,"Beauty & Spas"
13,KQPW8lFf1y5BT2MxiSZ3QA,"Departments of Motor Vehicles"
14,KQPW8lFf1y5BT2MxiSZ3QA,"Public Services & Government"
15,8DShNS-LuFqpEWIp0HxijA,"Sporting Goods"
16,8DShNS-LuFqpEWIp0HxijA,Shopping
17,PfOCPjBrlQAnz__NXj9h_w,"American (New)"
18,PfOCPjBrlQAnz__NXj9h_w,Nightlife
19,PfOCPjBrlQAnz__NXj9h_w,Bars
20,PfOCPjBrlQAnz__NXj9h_w,Sandwiches
21,PfOCPjBrlQAnz__NXj9h_w,"American (Traditional)"
22,PfOCPjBrlQAnz__NXj9h_w,Burgers
23,PfOCPjBrlQAnz__NXj9h_w,Restaurants
24,o9eMRCWt5PkpLDE0gOPtcQ,Italian
25,o9eMRCWt5PkpLDE0gOPtcQ,Restaurants
26,kCoE3jvEtg6UVz5SOD3GVw,"Real Estate Services"
27,kCoE3jvEtg6UVz5SOD3GVw,"Real Estate"
28,kCoE3jvEtg6UVz5SOD3GVw,"Home Services"
29,kCoE3jvEtg6UVz5SOD3GVw,"Property Management"
30,OD2hnuuTJI9uotcKycxg1A,Shopping
31,OD2hnuuTJI9uotcKycxg1A,"Sporting Goods"
32,EsMcGiZaQuG1OOvL9iUFug,"Coffee & Tea"
33,EsMcGiZaQuG1OOvL9iUFug,"Ice Cream & Frozen Yogurt"
34,EsMcGiZaQuG1OOvL9iUFug,Food
35,TGWhGNusxyMaA4kQVBNeew,Automotive
36,TGWhGNusxyMaA4kQVBNeew,"Auto Detailing"
37,XOSRcvtaKc_Q5H1SAzN20A,"Breakfast & Brunch"
38,XOSRcvtaKc_Q5H1SAzN20A,Gluten-Free
39,XOSRcvtaKc_Q5H1SAzN20A,"Coffee & Tea"
40,XOSRcvtaKc_Q5H1SAzN20A,Food
41,XOSRcvtaKc_Q5H1SAzN20A,Restaurants
42,XOSRcvtaKc_Q5H1SAzN20A,Sandwiches
43,Y0eMNa5C-YU1RQOZf9XvVA,"Local Services"
44,Y0eMNa5C-YU1RQOZf9XvVA,"Self Storage"
45,xcgFnd-MwkZeO5G2HQ0gAQ,Bakeries
46,xcgFnd-MwkZeO5G2HQ0gAQ,Bagels
47,xcgFnd-MwkZeO5G2HQ0gAQ,Food
48,NmZtoE3v8RdSJEczYbMT9g,"General Dentistry"
49,NmZtoE3v8RdSJEczYbMT9g,Dentists
50,NmZtoE3v8RdSJEczYbMT9g,Endodontists
51,NmZtoE3v8RdSJEczYbMT9g,"Cosmetic Dentists"
52,NmZtoE3v8RdSJEczYbMT9g,"Health & Medical"
53,NmZtoE3v8RdSJEczYbMT9g,Orthodontists
54,fNMVV_ZX7CJSDWQGdOM8Nw,Restaurants
55,fNMVV_ZX7CJSDWQGdOM8Nw,"American (Traditional)"
56,l09JfMeQ6ynYs5MCJtrcmQ,Italian
57,l09JfMeQ6ynYs5MCJtrcmQ,French
58,l09JfMeQ6ynYs5MCJtrcmQ,Restaurants
59,IQSlT5jGE6CCDhSG0zG3xg,"Beauty & Spas"
60,IQSlT5jGE6CCDhSG0zG3xg,"Nail Salons"
61,b2I2DXtZVnpUMCXp1JON7A,Tires
62,b2I2DXtZVnpUMCXp1JON7A,"Oil Change Stations"
63,b2I2DXtZVnpUMCXp1JON7A,"Auto Repair"
64,b2I2DXtZVnpUMCXp1JON7A,Automotive
65,0FMKDOU8TJT1x87OKYGDTg,Barbers
66,0FMKDOU8TJT1x87OKYGDTg,"Beauty & Spas"
67,Gu-xs3NIQTj3Mj2xYoN2aw,French
68,Gu-xs3NIQTj3Mj2xYoN2aw,Food
69,Gu-xs3NIQTj3Mj2xYoN2aw,Bakeries
70,Gu-xs3NIQTj3Mj2xYoN2aw,Restaurants
71,lHYiCS-y8AFjUitv6MGpxg,Food
72,lHYiCS-y8AFjUitv6MGpxg,"Coffee & Tea"
73,94KziT6DQ9XlBET3WzIv_w,Shopping
74,94KziT6DQ9XlBET3WzIv_w,Books
75,94KziT6DQ9XlBET3WzIv_w,Mags
76,94KziT6DQ9XlBET3WzIv_w,"Music & Video"
77,94KziT6DQ9XlBET3WzIv_w,"Music & DVDs"
78,7YIy1tXOor9VCwvaSjuBHg,"Public Services & Government"
79,PMH4oUa-bWELKogdtkWewg,"Fitness & Instruction"
80,PMH4oUa-bWELKogdtkWewg,"Sports Clubs"
81,PMH4oUa-bWELKogdtkWewg,Gyms
82,PMH4oUa-bWELKogdtkWewg,Trainers
83,PMH4oUa-bWELKogdtkWewg,"Active Life"
84,VSGcuYDV3q-AAZ9ZPq4fBQ,Bars
85,VSGcuYDV3q-AAZ9ZPq4fBQ,"Sports Bars"
86,VSGcuYDV3q-AAZ9ZPq4fBQ,Nightlife
87,1K4qrnfyzKzGgJPBEcJaNQ,"Tiki Bars"
88,1K4qrnfyzKzGgJPBEcJaNQ,Nightlife
89,1K4qrnfyzKzGgJPBEcJaNQ,Mexican
90,1K4qrnfyzKzGgJPBEcJaNQ,Restaurants
91,1K4qrnfyzKzGgJPBEcJaNQ,Bars
92,VBHEsoXQb2AQ76J9l8h1uQ,Shopping
93,VBHEsoXQb2AQ76J9l8h1uQ,Jewelry
94,VBHEsoXQb2AQ76J9l8h1uQ,"Watch Repair"
95,VBHEsoXQb2AQ76J9l8h1uQ,"Local Services"
96,AtdXq_gu9NTE5rx4ct_dGg,"Coffee & Tea"
97,AtdXq_gu9NTE5rx4ct_dGg,Food
98,AtdXq_gu9NTE5rx4ct_dGg,"Tea Rooms"
99,Dj0S-Oe4ytRJzMGUPgYUkw,Soup
100,Dj0S-Oe4ytRJzMGUPgYUkw,Salad
101,Dj0S-Oe4ytRJzMGUPgYUkw,Sandwiches
102,Dj0S-Oe4ytRJzMGUPgYUkw,Restaurants
103,gAy4LYpsScrj8POnCW6btQ,Food
104,gAy4LYpsScrj8POnCW6btQ,"American (Traditional)"
105,gAy4LYpsScrj8POnCW6btQ,"Coffee & Tea"
106,gAy4LYpsScrj8POnCW6btQ,Restaurants
107,nbhBRhZtdaZmMMeb2i02pg,Restaurants
108,nbhBRhZtdaZmMMeb2i02pg,"Breakfast & Brunch"
109,zzMu-6SmqhpvHxVRM6tx9g,"Oil Change Stations"
110,zzMu-6SmqhpvHxVRM6tx9g,"Smog Check Stations"
111,zzMu-6SmqhpvHxVRM6tx9g,Automotive
112,zzMu-6SmqhpvHxVRM6tx9g,"Auto Repair"
113,1_3nOM7s9WqnJWTNu2-i8Q,"Arts & Entertainment"
114,1_3nOM7s9WqnJWTNu2-i8Q,Festivals
115,1_3nOM7s9WqnJWTNu2-i8Q,Restaurants
116,1_3nOM7s9WqnJWTNu2-i8Q,French
117,1_3nOM7s9WqnJWTNu2-i8Q,Gastropubs
118,FXHfcFVEfI1vVngW2gVOpw,"Coffee & Tea"
119,FXHfcFVEfI1vVngW2gVOpw,Restaurants
120,FXHfcFVEfI1vVngW2gVOpw,Food
121,FXHfcFVEfI1vVngW2gVOpw,Mediterranean
122,FXHfcFVEfI1vVngW2gVOpw,"Tea Rooms"
123,7gquCdaFoHZCcLYDttpHtw,"Nail Salons"
124,7gquCdaFoHZCcLYDttpHtw,"Beauty & Spas"
125,8y56fOiKhtCnqaiYB2S2Qg,Nightlife
126,8y56fOiKhtCnqaiYB2S2Qg,Pubs
