id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,category
--DaPTJW3-tB1vP-PfdTEg,"Sunnyside Grill","Corso Italia","1218 Saint Clair Avenue W",Toronto,ON,M6E,43.6778,-79.4447,3.5,39,1,"Breakfast & Brunch"
--SrzpvFLwP_YFwB_Cetow,"Keung Kee Restaurant",Milliken,"3300 Midland Avenue, Unit 41",Toronto,ON,"M1V 0C7",43.8068,-79.2889,3.5,44,1,Chinese
-0aOudcaAyac0VJbMX-L1g,"Express Pizza & Grill",Willowdale,"4917 Bathurst",Toronto,ON,"M2R 1X8",43.7732,-79.4426,3,13,1,Pizza
-0aOudcaAyac0VJbMX-L1g,"Express Pizza & Grill",Willowdale,"4917 Bathurst",Toronto,ON,"M2R 1X8",43.7732,-79.4426,3,13,1,"Middle Eastern"
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Food
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Books
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Mags
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,"Music & Video"
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Shopping
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Sandwiches
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,"Coffee & Tea"
-0RRiWDtfnS16AKCtfvBZg,"The Independent","Downtown Core","96 Spadina Avenue, 1 Floor",Toronto,ON,"M5V 2J6",43.6464,-79.3959,4.5,5,1,Bookstores
-2TBP3ZGu7M-FmfoNJvbrQ,Rashers,"Ossington Strip","182 Ossington Avenue",Toronto,ON,"M6J 2Z7",43.6484,-79.4206,3.5,19,1,Sandwiches
-2TBP3ZGu7M-FmfoNJvbrQ,Rashers,"Ossington Strip","182 Ossington Avenue",Toronto,ON,"M6J 2Z7",43.6484,-79.4206,3.5,19,1,"Breakfast & Brunch"
-2TBP3ZGu7M-FmfoNJvbrQ,Rashers,"Ossington Strip","182 Ossington Avenue",Toronto,ON,"M6J 2Z7",43.6484,-79.4206,3.5,19,1,"Comfort Food"
-4uT6QFVaRtc2Zmxvtd9Vg,"BBQ Express",Yorkville,"1240 Bay Street",Toronto,ON,"M5R 3A7",43.6703,-79.3907,4.5,3,1,"Fast Food"
-4uT6QFVaRtc2Zmxvtd9Vg,"BBQ Express",Yorkville,"1240 Bay Street",Toronto,ON,"M5R 3A7",43.6703,-79.3907,4.5,3,1,Barbeque
